Area;Perimeter;MajorAxisLength;MinorAxisLength;AspectRation;Eccentricity;ConvexArea;EquivDiameter;Extent;Solidity;roundness;Compactness;ShapeFactor1;ShapeFactor2;ShapeFactor3;ShapeFactor4;Class
70776;1060,894;386,6199438;234,1002082;1,651514737;0,7958417;71978;300,1912757;0,775763422;0,983300453;0,79022705;0,77645057;0,005462585;0,00122471;0,602875487;0,995657752;BARBUNYA
66370;1004,139;339,2870724;249,8830846;1,357783273;0,676443462;67637;290,69728;0,720535869;0,981267649;0,827168546;0,856788553;0,005112055;0,001699299;0,734086625;0,996730541;BARBUNYA
60736;985,501;342,4453022;226,7417755;1,510287645;0,749392947;61680;278,0853772;0,789353296;0,984695201;0,785854079;0,812057795;0,005638259;0,00151242;0,659437863;0,995940857;BARBUNYA
65219;1011,11;353,6505457;235,3089993;1,502919764;0,746512389;66672;288,1655945;0,71943565;0,978206743;0,801654414;0,814831471;0,005422508;0,001474522;0,663950327;0,997864068;BARBUNYA
51332;889,637;330,8228042;198,618899;1,66561594;0,799715985;52283;255,651975;0,75168768;0,981810531;0,815027712;0,772776156;0,006444767;0,001417757;0,597182987;0,994677503;BARBUNYA
61988;969,081;359,1672822;220,6176598;1,628007851;0,789113314;62965;280,9369554;0,701864831;0,984483443;0,829463597;0,782189719;0,005794142;0,00133788;0,611820756;0,996048994;BARBUNYA
73347;1082,968;363,7976463;257,664828;1,411902622;0,705947522;74564;305,5949949;0,814830862;0,983678451;0,785888568;0,840013667;0,004959953;0,001523361;0,70562296;0,996270908;BARBUNYA
76385;1057,34;384,8384545;254,3609427;1,512962055;0,750425442;77525;311,859588;0,823557951;0,985295066;0,858595529;0,810364932;0,005038142;0,00134021;0,656691323;0,993549053;BARBUNYA
68056;1054,621;359,7313547;242,2025444;1,485250106;0,739380986;69299;294,3664221;0,716801483;0,982063233;0,768924066;0,818295148;0,005285814;0,001461947;0,669606949;0,994533792;BARBUNYA
67792;1064,282;403,333845;214,9557913;1,876357192;0,846148268;68830;293,7949203;0,803099049;0,984919367;0,752098767;0,728416234;0,005949579;0,0010332;0,53059021;0,995576756;BARBUNYA
68901;1003,207;373,0537154;236,0557592;1,580362693;0,774342956;69802;296,1882474;0,709675758;0,98709206;0,860308634;0,793956031;0,005414344;0,001327124;0,63036618;0,996207193;BARBUNYA
68823;1054,403;368,6293354;239,0642829;1,54196742;0,761195798;70191;296,0205486;0,705153689;0,980510322;0,777911511;0,803030362;0,005356194;0,001373928;0,644857762;0,994349659;BARBUNYA
73623;1101,269;428,5121811;219,7080646;1,950370743;0,858554071;74981;306,1694221;0,754504089;0,981888745;0,762845424;0,714494093;0,005820358;0,000935673;0,510501809;0,995667792;BARBUNYA
63530;977,519;346,3706052;234,5515131;1,476735753;0,73582732;64529;284,4097542;0,691505573;0,984518589;0,835484321;0,821114003;0,005452079;0,001528818;0,674228206;0,995656897;BARBUNYA
64783;1059,216;355,2919274;232,7027318;1,526806001;0,755661765;66071;287,2007615;0,730855144;0,980505819;0,725607654;0,808351498;0,005484339;0,001444458;0,653432144;0,997664118;BARBUNYA
78474;1172,352;423,8044852;236,3142944;1,793393354;0,830108328;80373;316,0952389;0,714634368;0,976372662;0,717496186;0,745851566;0,005400572;0,00103093;0,556294558;0,997654964;BARBUNYA
62683;1007,347;343,3923073;233,9888426;1,467558468;0,731907633;64225;282,5074767;0,701646574;0,975990658;0,776249695;0,822695997;0,005478237;0,001548025;0,676828704;0,993285695;BARBUNYA
84700;1159,78;417,0012702;259,1163751;1,609320407;0,783509107;86013;328,3951727;0,805010645;0,984734866;0,7913016;0,787516001;0,004923274;0,001168076;0,620181452;0,998070666;BARBUNYA
65243;980,668;328,5051239;253,2426845;1,29719492;0,636963249;66224;288,2186108;0,757494485;0,985186639;0,852510582;0,877364126;0,005035101;0,00184038;0,769767809;0,998538891;BARBUNYA
71536;1020,47;341,8985225;267,1090837;1,279995865;0,624215102;72443;301,7987145;0,790260931;0,987479812;0,863244923;0,882714299;0,004779391;0,001789917;0,779184533;0,99735298;BARBUNYA
94287;1217,589;440,1625026;274,6010294;1,602916433;0,781533848;96147;346,4822318;0,81100818;0,980654623;0,799208786;0,787168897;0,004668327;0,001105637;0,619634873;0,993222921;BARBUNYA
76997;1099,457;413,3606939;237,6076807;1,739677323;0,818280416;78041;313,106412;0,79293335;0,986622416;0,800437028;0,757465373;0,00536853;0,00109015;0,573753791;0,998146458;BARBUNYA
70413;1068,42;371,2253173;243,1744321;1,526580381;0,755577854;71731;299,420467;0,716627992;0,981625796;0,775137404;0,806573402;0,005272113;0,001376385;0,650560652;0,993133129;BARBUNYA
