Area;Perimeter;MajorAxisLength;MinorAxisLength;AspectRation;Eccentricity;ConvexArea;EquivDiameter;Extent;Solidity;roundness;Compactness;ShapeFactor1;ShapeFactor2;ShapeFactor3;ShapeFactor4;Class
28395;610.291;2.081.781.167;173.888.747;1.197.191.424;0.549812187;28715;1.901.410.973;0.763922518;0.988855999;0.958027126;0.913357755;0.007331506;0.003147289;0.834222388;0.998723889;SEKER
28734;638.018;2.005.247.957;1.827.344.194;1.097.356.461;0.411785251;29172;1.912.727.505;0.783968133;0.984985603;0.887033637;0.953860842;0.006978659;0.003563624;0.909850506;0.998430331;SEKER
29380;624.11;2.128.261.299;1.759.311.426;1.209.712.656;0.562727317;29690;1.934.109.041;0.778113248;0.989558774;0.947849473;0.908774239;0.007243912;0.003047733;0.825870617;0.999066137;SEKER
30008;645.884;210.557.999;1.825.165.157;1.153.638.059;0.498615976;30724;1.954.670.618;0.782681273;0.976695743;0.903936374;0.928328835;0.007016729;0.003214562;0.861794425;0.994198849;SEKER
30140;620.134;2.018.478.822;1.902.792.788;106.079.802;0.333679658;30417;195.896.503;0.773098035;0.99089325;0.984877069;0.970515523;0.00669701;0.003664972;0.941900381;0.999166059;SEKER
30279;634.927;2.125.605.564;1.815.101.816;1.171.066.849;0.52040066;30600;1.963.477.022;0.775688485;0.989509804;0.943851783;0.923725952;0.007020065;0.003152779;0.853269634;0.999235781;SEKER
30477;670.033;2.110.501.553;1.840.390.501;1.146.768.336;0.489477894;30970;1.969.886.332;0.762401501;0.984081369;0.853079869;0.933373552;0.006924899;0.003242016;0.871186188;0.999048736;SEKER
30519;629.727;2.129.967.551;1.827.372.038;1.165.590.535;0.513759558;30847;1.971.243.203;0.770681818;0.989366875;0.967109244;0.925480392;0.006979152;0.003158285;0.856513956;0.99834456;SEKER
30685;635.681;2.135.341.452;1.831.571.463;1.165.852.108;0.51408086;31044;197.659.696;0.771561479;0.988435769;0.954239808;0.925658498;0.00695891;0.00315155;0.856843654;0.998952981;SEKER
30834;631.934;2.172.278.128;1.808.974.686;12.008.339;0.553642225;31120;1.981.390.121;0.783682806;0.990809769;0.97027823;0.91212543;0.007045074;0.00300804;0.8319728;0.999061142;SEKER
30917;640.765;2.135.600.894;1.844.398.709;1.157.884.618;0.504102365;31280;1.984.055.115;0.770805285;0.988395141;0.94625818;0.929038343;0.006907529;0.00317422;0.863112242;0.999384389;SEKER
31091;638.558;2.104.862.549;1.883.268.476;1.117.664.622;0.446621924;31458;1.989.630.385;0.786377317;0.988333651;0.958172836;0.945254305;0.006770006;0.003333984;0.8935057;0.998639711;SEKER
31107;640.594;2.146.485.485;1.849.692.526;1.160.455.295;0.507365875;31423;1.990.142.269;0.761046142;0.989943672;0.952581757;0.927163162;0.006900329;0.003145388;0.859631529;0.997563959;SEKER
31158;642.626;2.164.848.362;1.836.443.122;1.178.826.797;0.529514251;31492;1.991.773.023;0.798759229;0.989394132;0.948119004;0.92005198;0.00694797;0.003071052;0.846495646;0.997871751;SEKER
31158;641.105;2.120.669.751;1.871.929.601;1.132.879.009;0.469924157;31474;1.991.773.023;0.781313473;0.989959967;0.952623101;0.939218858;0.006806181;0.00326701;0.882132064;0.999348898;SEKER
31178;636.888;2.129.759.252;1.865.620.882;1.141.582.018;0.482352224;31520;1.992.412.169;0.764110482;0.989149746;0.965899596;0.935510513;0.006830968;0.003227429;0.875179919;0.999089658;SEKER
31202;644.454;2.156.406.947;1.844.716.842;1.168.963.657;0.517871223;31573;1.993.178.875;0.779192888;0.988249454;0.944079243;0.924305534;0.006911118;0.003111647;0.85434072;0.998693253;SEKER
31203;639.782;215.067.737;1.848.748.759;1.163.315.112;0.510946829;31558;1.993.210.815;0.762984155;0.988750871;0.957948542;0.926782809;0.006892534;0.003136682;0.858926376;0.999202033;SEKER
31272;638.666;2.124.503.189;187.535.939;1.132.851.229;0.469883494;31593;1.995.413.417;0.770322199;0.989839521;0.963425036;0.939237666;0.006793627;0.003261246;0.882167393;0.999364415;SEKER
31335;635.011;2.167.900.923;1.841.634.403;1.177.161.395;0.52758671;31599;1.997.422.367;0.774277242;0.991645305;0.976510834;0.921362386;0.006918465;0.003075469;0.848908647;0.999302487;SEKER
31374;636.401;219.865.394;1.820.088.637;1.207.992.784;0.56099452;31604;1.998.664.991;0.769196823;0.99272244;0.973459862;0.909040279;0.007007885;0.002951884;0.826354229;0.998229946;SEKER
31530;638.857;2.137.856.543;1.880.664.823;1.136.755.746;0.475535642;31791;2.003.627.781;0.768949371;0.991790129;0.970792739;0.937213391;0.006780389;0.003226921;0.878368941;0.99849094;SEKER
31573;674.103;2.173.070.261;1.854.482.507;1.171.793.345;0.52126839;32197;200.499.357;0.756964757;0.980619312;0.873118507;0.922654737;0.006882685;0.003076767;0.851291764;0.997538024;SEKER
31637;656.711;2.297.192.546;175.510.446;1.308.863.717;0.645190802;32045;200.702.465;0.761823348;0.987267905;0.921842182;0.873685862;0.007261095;0.002609775;0.763326986;0.999090996;SEKER
31675;657.431;2.367.526.321;1.712.105.592;13.828.156;0.690678219;32009;2.008.229.633;0.740935673;0.989565435;0.92092896;0.848239622;0.007474432;0.002386889;0.719510457;0.994950284;SEKER
31682;646.721;2.100.456.816;1.922.484.159;1.092.574.316;0.402841974;32026;2.008.451.524;0.773184303;0.989258727;0.951893863;0.956197485;0.006629811;0.003418781;0.91431363;0.998955589;SEKER
31703;656.305;2.157.089.067;1.872.724.497;1.151.845.384;0.496263281;32093;2.009.117.052;0.777110501;0.987847817;0.92490856;0.931401991;0.006804053;0.003158611;0.867509669;0.999237008;SEKER
31748;641.826;2.197.765.183;1.841.151.053;1.193.690.859;0.546072628;32020;2.010.542.441;0.775589974;0.991505309;0.968482156;0.914812218;0.006922531;0.002990698;0.836881394;0.99897767;SEKER
31768;650.954;2.209.594.949;1.832.920.681;1.205.504.947;0.558465259;32173;2.011.175.623;0.777674419;0.987411805;0.94210463;0.910201041;0.006955411;0.002944773;0.828465935;0.998719784;SEKER
31811;642.092;2.239.846.829;1.809.171.228;1.238.051.321;0.589564969;32052;2.012.536.289;0.773877293;0.992480968;0.969600136;0.898515141;0.007041108;0.002830886;0.807329459;0.999515303;SEKER
31821;649.681;2.137.356.452;1.899.692.019;1.125.106.823;0.458286561;32168;2.012.852.592;0.772354369;0.989212882;0.947378132;0.941748668;0.006716811;0.003258989;0.886890554;0.997846613;SEKER
31823;662.532;2.228.726.889;1.818.946.963;1.225.284.154;0.57785815;32274;2.012.915.846;0.774847821;0.986025903;0.91103962;0.903168466;0.00700351;0.002874555;0.815713278;0.999480554;SEKER
31837;656.404;2.249.125.542;1.804.394.219;1.246.471.264;0.596968354;32238;2.013.358.572;0.785245659;0.987561263;0.928537748;0.89517394;0.007064502;0.002798279;0.801336382;0.998842773;SEKER
31915;640.718;2.163.203.615;1.880.653.069;1.150.240.653;0.494138341;32184;2.015.823.407;0.777655945;0.99164181;0.976946683;0.93186947;0.006778015;0.003152845;0.868380709;0.998846794;SEKER
31972;639.974;2.136.874.805;1.906.449.473;1.120.866.215;0.451705439;32246;2.017.622.728;0.772270531;0.991502822;0.980968377;0.944193232;0.006683582;0.003276669;0.891500859;0.999253193;SEKER
31992;640.338;2.128.873.637;1.914.872.537;1.111.757.361;0.436968432;32258;2.018.253.689;0.774212284;0.991753984;0.980466376;0.948038274;0.006654394;0.003315826;0.898776569;0.999221466;SEKER
31994;654.535;2.121.713.961;1.924.225.318;1.102.632.806;0.421302377;32391;2.018.316.774;0.789741311;0.987743509;0.938453277;0.951267141;0.0066316;0.003349716;0.904909174;0.997782541;SEKER
32015;653.676;2.129.299.893;1.918.101.346;1.110.108.127;0.43420694;32375;201.897.905;0.761880964;0.988880309;0.941538949;0.948189147;0.006650945;0.003316218;0.899062659;0.998056765;SEKER
