Lot.Area;Overall.Qual;Year.Built;Total.Bsmt.SF;Gr.Liv.Area;Full.Bath;Bedroom.AbvGr;Kitchen.AbvGr;Garage.Cars;Garage.Area;SalePrice
31770;6;1960;1080;1656;1;3;1;2;528;215000
11622;5;1961;882;896;1;2;1;1;730;105000
14267;6;1958;1329;1329;1;3;1;1;312;172000
11160;7;1968;2110;2110;2;3;1;2;522;244000
13830;5;1997;928;1629;2;3;1;2;482;189900
9978;6;1998;926;1604;2;3;1;2;470;195500
4920;8;2001;1338;1338;2;2;1;2;582;213500
5005;8;1992;1280;1280;2;2;1;2;506;191500
5389;8;1995;1595;1616;2;2;1;2;608;236500
7500;7;1999;994;1804;2;3;1;2;442;189000
10000;6;1993;763;1655;2;3;1;2;440;175900
7980;6;1992;1168;1187;2;3;1;2;420;185000
8402;6;1998;789;1465;2;3;1;2;393;180400
10176;7;1990;1300;1341;1;2;1;2;506;171500
6820;8;1985;1488;1502;1;1;1;2;528;212000
53504;8;2003;1650;3279;3;4;1;3;841;538000
12134;8;1988;559;1752;2;4;1;2;492;164000
11394;9;2010;1856;1856;1;1;1;3;834;394432
19138;4;1951;864;864;1;2;1;2;400;141000
13175;6;1978;1542;2073;2;3;1;2;500;210000
11751;6;1977;1844;1844;2;3;1;2;546;190000
10625;7;1974;1053;1173;2;3;1;2;528;170000
7500;7;2000;814;1674;2;3;1;2;663;216000
11241;6;1970;1004;1004;1;2;1;2;480;149000
12537;5;1971;1078;1078;1;3;1;2;500;149900
8450;5;1968;1056;1056;1;3;1;1;304;142000
8400;4;1970;882;882;1;2;1;2;525;126000
10500;4;1971;864;864;1;3;1;0;0;115000
5858;7;1999;1405;1337;2;2;1;2;511;184000
1680;6;1971;483;987;1;2;1;1;264;96000
1680;5;1971;525;1092;1;3;1;1;320;105500
1680;6;1971;525;1092;1;3;1;1;264;88000
4043;6;1977;1069;1069;2;2;1;2;440;127500
2280;6;1975;855;1456;2;3;1;2;440;149900
2280;7;1975;836;836;1;2;1;1;308;120000
2280;6;1978;855;1456;2;3;1;2;440;146000
12858;9;2009;1590;2334;2;3;1;3;751;376162
11478;8;2007;1704;1704;2;3;1;3;772;306000
10159;9;2009;1930;1940;2;3;1;3;606;395192
12883;8;2009;1544;1544;2;3;1;3;868;290941
12182;7;2005;1541;1541;2;3;1;2;532;220000
11520;9;2005;1698;1698;2;3;1;3;730;275000
14122;8;2005;1822;1822;2;3;1;3;678;259000
10171;7;2004;1517;1535;2;3;1;2;532;214000
12919;9;2009;2330;2364;2;2;1;3;820;611657
6371;7;2009;1358;1358;2;2;1;2;484;224000
14300;9;2003;2846;2696;2;3;1;3;958;500000
13650;8;2002;1671;2250;2;3;1;3;756;320000
7658;9;2005;1752;1752;2;2;1;2;576;319900
7132;8;2006;1370;1370;2;2;1;2;484;205000
2628;7;2003;764;1626;2;2;1;2;474;175500
18494;6;2005;1324;1324;2;3;1;2;430;199500
3203;7;2006;1145;1145;2;2;1;2;437;160000
3182;8;2004;1256;1269;2;2;1;2;430;192000
13300;7;2004;384;1374;2;3;1;2;400;184500
7851;6;2002;860;1960;2;4;1;2;440;216500
8577;7;2004;847;1733;2;3;1;2;433;185088
7750;7;2000;384;1430;2;3;1;2;400;180000
9505;7;2001;884;2035;2;3;1;2;434;222500
14774;9;1999;1393;2599;2;4;1;3;779;333168
17433;8;1998;1629;2475;2;4;1;3;962;355000
10593;7;1996;1720;1720;2;3;1;2;527;260400
12256;8;1994;1463;2622;2;3;1;2;712;325000
11764;8;1999;1152;2270;2;4;1;3;671;290000
16770;7;1998;1195;1839;2;4;1;2;486;221000
14720;8;1995;2033;3238;2;4;1;3;666;410000
8987;8;2005;1595;1595;2;2;1;3;880;221500
9215;7;2009;1218;1218;2;2;1;2;676;204500
8640;7;2009;756;1547;2;3;1;2;614;215200
9000;8;2008;1566;1566;2;3;1;2;750;262500
12552;7;2004;991;1947;2;3;1;2;678;254900
10440;6;2005;1468;1468;2;2;1;2;528;271500
10142;7;2004;956;2084;2;4;1;2;618;233000
11920;7;2004;831;1659;2;3;1;2;484;181000
8880;7;1994;948;2110;2;3;1;2;463;205000
